Id,Score
1,3.8
2,3.6
3,3.9
4,3.4
5,2.6
6,3.9
7,4.4
8,4.3
9,4.0
10,3.7
11,3.6
12,4.6
13,4.5
14,3.1
15,3.2
16,3.1
17,4.2
18,4.0
19,3.2
20,1.7
21,2.6
22,2.4
23,2.5
24,2.7
25,3.1
26,2.8
27,3.4
28,2.5
29,3.3
30,3.0
31,5.0
32,3.6
33,3.7
34,3.9
35,3.6
36,5.0
37,4.2
38,4.0
39,5.0
40,4.8
41,3.3
42,3.0
43,3.7
44,3.7
45,1.3
46,2.3
47,3.1
48,1.1
49,1.3
50,2.2
51,4.4
52,4.3
53,3.3
54,3.8
55,4.2
56,3.4
57,2.9
58,4.1
59,3.7
60,4.0
61,3.8
62,4.0
63,3.8
64,4.6
65,3.7
66,4.8
67,4.3
68,4.7
69,4.4
70,4.6
71,4.8
72,4.9
73,4.8
74,4.5
75,4.6
76,3.3
77,2.9
78,3.9
79,2.3
80,3.8
81,3.6
82,3.9
83,4.5
84,4.2
85,4.6
86,4.7
87,4.4
88,5.0
89,4.6
90,3.7
91,4.3
92,3.8
93,4.5
94,4.2
95,4.5
96,4.0
97,4.3
98,4.5
99,4.2
100,4.5
101,2.9
102,2.9
103,3.5
104,3.1
105,3.6
106,3.6
107,3.6
108,2.6
109,3.7
110,4.0
111,4.5
112,4.8
113,4.7
114,4.6
115,4.7
116,4.8
117,4.6
118,4.5
119,4.2
120,4.6
121,3.8
122,4.8
123,3.2
124,3.5
125,4.2
126,4.5
127,3.8
128,3.0
129,4.0
130,4.2
131,4.2
132,4.4
133,3.7
134,4.3
135,4.1
136,4.2
137,4.5
138,4.8
139,4.5
140,4.7
141,3.5
142,4.0
143,3.3
144,2.6
145,2.8
146,2.7
147,1.7
148,3.2
149,3.6
150,2.7
151,4.4
152,4.4
153,5.0
154,4.8
155,4.8
156,4.8
157,4.6
158,4.6
159,4.6
160,3.1
161,3.5
162,3.6
163,3.1
164,3.2
165,2.9
166,3.4
167,3.9
168,2.3
169,3.7
170,3.3
171,3.3
172,4.0
173,4.6
174,3.7
175,3.6
176,4.8
177,4.1
178,4.4
179,3.3
180,3.1
181,3.5
182,3.9
183,3.3
184,3.8
185,3.6
186,4.1
187,4.2
188,4.2
189,4.1
190,3.5
191,2.9
192,3.3
193,3.2
194,3.1
195,3.3
196,3.6
197,3.3
198,2.4
199,3.1
200,3.1
201,1.0
202,3.9
203,3.7
204,3.5
205,3.4
206,1.7
207,1.8
208,3.9
209,3.8
210,2.1
211,4.5
212,2.7
213,3.8
214,3.5
215,3.9
216,2.2
217,1.8
218,3.9
219,4.6
220,2.2
221,4.1
222,3.6
223,3.9
224,3.6
225,3.2
226,3.7
227,3.1
228,3.2
229,4.2
230,3.3
231,5.0
232,4.4
233,4.5
234,4.9
235,4.1
236,3.7
237,4.9
238,3.8
239,4.0
240,4.1
241,3.8
242,4.2
243,4.0
244,4.1
245,4.1
246,4.1
247,4.0
248,4.2
249,3.3
250,4.2
251,3.4
252,3.1
253,3.1
254,2.4
255,3.5
256,2.6
257,2.9
258,1.8
259,2.8
260,2.8
261,3.0
262,3.7
263,3.0
264,3.6
265,2.3
266,3.9
267,2.8
268,3.3
269,2.9
270,2.7
271,4.0
272,4.5
273,4.1
274,4.4
275,4.6
276,4.2
277,4.3
278,3.4
279,4.2
280,3.5
281,4.6
282,4.4
283,3.4
284,3.6
285,3.0
286,2.8
287,3.0
288,3.3
289,3.4
290,3.4
291,4.0
292,4.0
293,3.5
294,4.4
295,3.5
296,4.5
297,3.0
298,3.1
299,2.6
300,4.3
301,4.1
302,4.4
303,3.5
304,4.2
305,4.0
306,4.1
307,3.9
308,2.6
309,3.7
310,3.3
311,3.4
312,3.4
313,3.5
314,3.3
315,3.2
316,3.8
317,2.8
318,2.9
319,3.5
320,3.4
321,4.0
322,3.5
323,4.0
324,4.5
325,3.7
326,4.1
327,3.8
328,3.8
329,3.3
330,3.5
331,4.9
332,3.2
333,3.3
334,4.5
335,4.1
336,3.3
337,3.8
338,3.8
339,3.4
340,3.4
341,3.3
342,2.4
343,2.5
344,2.1
345,2.9
346,3.4
347,2.3
348,2.6
349,2.3
350,2.6
351,4.3
352,4.4
353,4.7
354,3.7
355,3.8
356,3.2
357,4.1
358,4.6
359,4.1
360,3.2
361,4.2
362,4.3
363,4.1
364,4.0
365,4.3
366,3.8
367,3.6
368,3.8
369,2.5
370,3.4
371,4.9
372,3.4
373,3.8
374,4.7
375,4.8
376,4.0
377,4.6
378,3.7
379,2.7
380,2.2
381,4.2
382,4.2
383,4.1
384,4.9
385,4.4
386,4.1
387,3.7
388,3.7
389,2.1
390,3.8
391,1.8
392,3.1
393,3.0
394,2.7
395,2.8
396,3.0
397,2.9
398,2.6
399,2.4
400,2.3
401,3.9
402,3.7
403,4.0
404,3.9
405,3.8
406,3.7
407,3.8
408,3.4
409,3.9
410,3.5
411,3.5
412,4.4
413,4.1
414,3.6
415,4.4
416,3.4
417,4.2
418,3.7
419,4.2
420,3.2
421,3.7
422,3.6
423,3.2
424,2.1
425,3.4
426,3.7
427,3.8
428,4.3
429,3.1
430,3.5
431,3.6
432,4.2
433,3.2
434,3.8
435,3.1
436,3.7
437,2.9
438,3.7
439,3.4
440,3.4
441,4.0
442,3.7
443,3.3
444,3.4
445,4.9
446,3.3
447,3.8
448,3.3
449,3.7
450,3.0
451,4.6
452,4.2
453,4.2
454,3.6
455,4.2
456,4.4
457,3.7
458,3.8
459,4.0
460,4.9
461,3.9
462,3.8
463,4.3
464,4.2
465,3.4
466,2.9
467,3.4
468,3.9
469,2.6
470,3.4
471,4.8
472,4.3
473,2.8
474,2.7
475,3.1
476,4.3
477,3.3
478,4.0
479,2.4
480,3.2
481,3.3
482,2.6
483,4.0
484,3.4
485,1.8
486,2.8
487,2.2
488,3.3
489,3.4
490,1.5
491,3.6
492,3.5
493,3.2
494,3.9
495,4.7
496,3.4
497,3.7
498,4.3
499,2.5
500,4.1
501,4.6
502,3.7
503,3.6
504,3.2
505,4.0
506,3.7
507,3.8
508,3.6
509,3.8
510,2.8
511,4.7
512,4.7
513,3.9
514,4.4
515,3.5
516,3.9
517,5.0
518,3.8
519,4.4
520,4.3
521,3.5
522,4.3
523,4.6
524,4.1
525,4.6
526,4.1
527,3.6
528,3.6
529,4.0
530,3.7
531,2.9
532,4.0
533,4.4
534,4.3
535,4.5
536,3.5
537,3.0
538,3.5
539,3.9
540,3.1
541,4.3
542,4.4
543,4.5
544,2.5
545,4.0
546,3.6
547,2.9
548,3.6
549,3.5
550,2.6
551,4.0
552,3.5
553,4.1
554,4.1
555,3.6
556,3.2
557,3.5
558,3.7
559,3.3
560,3.1
561,4.3
562,4.6
563,4.3
564,2.6
565,3.5
566,4.0
567,3.2
568,3.2
569,2.8
570,3.1
571,4.1
572,4.3
573,3.8
574,4.2
575,4.4
576,4.0
577,4.1
578,4.1
579,4.1
580,3.1
581,4.9
582,4.3
583,4.0
584,3.6
585,2.9
586,3.3
587,3.7
588,4.1
589,3.6
590,2.6
591,4.4
592,3.7
593,4.3
594,3.8
595,3.7
596,4.4
597,4.5
598,4.3
599,4.2
600,4.1
601,1.8
602,2.9
603,1.9
604,2.9
605,2.6
606,1.8
607,2.8
608,2.0
609,3.0
610,1.8
611,4.3
612,2.3
613,3.4
614,3.2
615,3.4
616,3.5
617,4.0
618,2.7
619,2.8
620,2.7
621,3.0
622,3.8
623,3.9
624,3.8
625,3.3
626,2.5
627,3.1
628,3.6
629,2.6
630,3.3
631,3.4
632,4.0
633,3.4
634,3.2
635,3.7
636,3.8
637,3.7
638,3.9
639,3.5
640,3.7
641,3.4
642,3.9
643,4.3
644,4.2
645,3.9
646,4.2
647,4.0
648,3.8
649,3.8
650,4.0
651,3.9
652,3.6
653,4.0
654,4.3
655,3.3
656,3.7
657,3.9
658,3.6
659,3.3
660,2.6
661,4.2
662,5.0
663,3.7
664,4.0
665,3.9
666,3.1
667,3.8
668,1.7
669,3.0
670,3.3
671,3.5
672,3.0
673,2.4
674,4.6
675,3.4
676,2.5
677,2.8
678,2.7
679,2.8
680,2.0
681,4.9
682,5.0
683,4.7
684,4.1
685,2.8
686,3.9
687,3.9
688,4.1
689,3.1
690,4.9
691,4.4
692,3.7
693,3.9
694,3.1
695,3.2
696,3.8
697,3.4
698,3.6
699,3.6
700,3.0
701,4.0
702,4.0
703,4.2
704,3.1
705,3.6
706,4.3
707,3.6
708,3.8
709,3.7
710,4.2
711,4.6
712,3.3
713,3.5
714,3.2
715,3.5
716,3.8
717,3.1
718,4.4
719,3.5
720,3.6
721,4.4
722,4.7
723,2.3
724,4.5
725,3.7
726,4.5
727,4.4
728,4.3
729,3.1
730,4.2
731,3.9
732,4.0
733,4.3
734,4.1
735,4.1
736,4.5
737,4.2
738,3.8
739,3.4
740,3.8
741,3.1
742,3.6
743,4.1
744,4.0
745,3.6
746,2.7
747,2.5
748,4.0
749,3.1
750,4.2
751,4.2
752,3.5
753,4.5
754,4.4
755,3.9
756,4.2
757,3.8
758,4.0
759,3.0
760,3.6
761,4.0
762,3.9
763,2.7
764,4.1
765,3.9
766,3.9
767,3.9
768,4.2
769,3.8
770,3.7
771,3.8
772,4.1
773,4.0
774,3.0
775,3.7
776,3.2
777,2.4
778,2.0
779,2.8
780,2.4
781,4.2
782,4.4
783,4.4
784,4.2
785,4.3
786,3.4
787,4.2
788,4.1
789,3.9
790,3.8
791,4.1
792,4.4
793,3.8
794,4.5
795,4.4
796,3.9
797,4.4
798,3.1
799,3.6
800,3.4
801,2.9
802,4.3
803,3.6
804,2.8
805,3.1
806,3.9
807,3.5
808,2.8
809,3.5
810,2.5
811,3.6
812,3.6
813,3.6
814,4.0
815,2.8
816,3.0
817,2.4
818,2.0
819,2.4
820,3.2
821,3.0
822,4.1
823,4.3
824,4.1
825,3.5
826,3.4
827,3.9
828,3.4
829,3.3
830,4.0
831,4.4
832,3.4
833,3.6
834,3.5
835,3.4
836,4.6
837,4.2
838,3.8
839,3.3
840,3.3
841,3.2
842,3.4
843,3.5
844,1.9
845,4.4
846,3.5
847,3.8
848,3.7
849,3.2
850,3.2
851,3.6
852,3.8
853,3.4
854,3.2
855,4.1
856,3.7
857,3.5
858,3.7
859,4.0
860,4.1
861,3.4
862,4.7
863,4.8
864,4.2
865,3.9
866,3.3
867,3.0
868,3.4
869,3.1
870,4.3
871,3.4
872,4.0
873,4.8
874,4.7
875,3.9
876,3.9
877,4.3
878,4.1
879,3.8
880,4.1
881,4.6
882,4.6
883,4.3
884,4.5
885,4.0
886,4.4
887,3.8
888,3.8
889,4.0
890,3.4
891,3.9
892,5.0
893,2.3
894,3.8
895,4.3
896,3.6
897,4.6
898,4.6
899,3.8
900,3.6
901,4.4
902,4.8
903,3.9
904,3.0
905,3.5
906,3.9
907,4.1
908,4.3
909,3.7
910,3.1
911,3.0
912,4.3
913,4.3
914,3.1
915,3.8
916,3.6
917,3.0
918,3.5
919,2.4
920,2.3
921,3.2
922,3.1
923,2.1
924,3.3
925,1.3
926,2.5
927,2.8
928,2.4
929,2.0
930,2.8
931,2.7
932,3.3
933,3.5
934,3.0
935,2.2
936,3.5
937,4.3
938,2.8
939,3.0
940,3.2
941,4.0
942,3.0
943,3.7
944,4.2
945,3.2
946,4.2
947,2.9
948,3.4
949,3.2
950,3.0
951,4.4
952,4.6
953,4.1
954,4.2
955,4.2
956,4.6
957,4.4
958,4.4
959,3.8
960,4.0
961,4.6
962,4.6
963,4.6
964,3.0
965,4.3
966,3.9
967,4.2
968,4.2
969,4.2
970,3.2
971,3.5
972,4.2
973,4.3
974,3.5
975,4.2
976,3.2
977,4.2
978,4.2
979,4.3
980,3.0
981,3.8
982,5.0
983,4.6
984,3.5
985,4.1
986,4.0
987,3.2
988,4.2
989,3.1
990,3.7
991,2.9
992,3.3
993,3.4
994,3.7
995,2.7
996,2.8
997,2.8
998,3.1
999,2.4
1000,3.5
1001,3.7
1002,2.6
1003,3.0
1004,3.8
1005,3.0
1006,2.5
1007,3.3
1008,3.4
1009,2.9
1010,2.4
1011,2.9
1012,2.7
1013,2.5
1014,2.5
1015,2.6
1016,3.5
1017,3.4
1018,2.6
1019,2.2
1020,2.3
1021,3.4
1022,4.2
1023,3.7
1024,3.3
1025,3.6
1026,3.8
1027,4.2
1028,3.6
1029,3.5
1030,3.6
1031,3.1
1032,3.5
1033,2.9
1034,1.9
1035,3.0
1036,2.6
1037,2.1
1038,1.6
1039,2.4
1040,2.6
1041,3.5
1042,3.4
1043,3.1
1044,4.1
1045,3.4
1046,3.2
1047,2.8
1048,2.5
1049,3.1
1050,2.9
1051,3.6
1052,4.1
1053,4.0
1054,3.9
1055,3.6
1056,3.8
1057,3.7
1058,3.6
1059,3.5
1060,2.7
1061,2.8
1062,3.0
1063,3.2
1064,2.6
1065,2.6
1066,3.5
1067,3.1
1068,2.6
1069,2.6
1070,3.1
1071,3.9
1072,4.4
1073,4.7
1074,2.9
1075,3.3
1076,3.9
1077,3.5
1078,4.3
1079,3.6
1080,3.3
1081,4.2
1082,3.8
1083,3.9
1084,4.0
1085,3.7
1086,3.9
1087,2.5
1088,4.0
1089,2.3
1090,3.9
1091,3.2
1092,3.3
1093,3.4
1094,3.7
1095,3.3
1096,2.2
1097,2.4
1098,2.7
1099,1.5
1100,1.0
1101,4.0
1102,4.6
1103,3.3
1104,4.8
1105,3.5
1106,3.6
1107,3.4
1108,3.6
1109,3.6
1110,3.0
1111,3.5
1112,4.2
1113,3.5
1114,3.4
1115,3.7
1116,3.6
1117,3.7
1118,3.6
1119,4.4
1120,3.6
1121,4.0
1122,4.1
1123,3.9
1124,3.5
1125,3.4
1126,3.6
1127,4.0
1128,3.6
1129,3.6
1130,1.6
1131,3.6
1132,3.5
1133,3.8
1134,3.9
1135,3.4
1136,3.3
1137,3.6
1138,3.7
1139,3.7
1140,2.0
1141,3.7
1142,4.3
1143,3.5
1144,4.7
1145,4.6
1146,3.9
1147,3.7
1148,3.3
1149,3.5
1150,3.9
1151,3.5
1152,4.0
1153,3.1
1154,2.8
1155,2.9
1156,3.1
1157,2.6
1158,3.1
1159,3.0
1160,2.7
1161,4.1
1162,4.7
1163,4.0
1164,4.1
1165,4.4
1166,4.2
1167,3.8
1168,2.3
1169,3.3
1170,3.4
1171,5.0
1172,5.0
1173,5.0
1174,4.8
1175,4.5
1176,4.8
1177,5.0
1178,4.6
1179,5.0
1180,4.1
1181,4.6
1182,4.0
1183,3.8
1184,4.4
1185,4.1
1186,4.2
1187,4.2
1188,2.9
1189,4.3
1190,4.3
1191,3.7
1192,3.6
1193,3.1
1194,2.8
1195,3.7
1196,3.8
1197,3.8
1198,3.3
1199,2.8
1200,3.3
1201,4.1
1202,4.1
1203,3.4
1204,3.1
1205,4.2
1206,3.1
1207,3.2
1208,3.9
1209,3.9
1210,3.5
1211,4.4
1212,3.4
1213,4.0
1214,4.0
1215,4.7
1216,4.5
1217,4.5
1218,4.1
1219,3.6
1220,4.1
1221,3.7
1222,3.4
1223,4.1
1224,4.4
1225,4.2
1226,4.1
1227,4.3
1228,3.9
1229,4.2
1230,4.3
1231,3.5
1232,3.9
1233,3.8
1234,3.8
1235,3.7
1236,3.6
1237,3.0
1238,3.5
1239,3.2
1240,3.6
1241,2.8
1242,3.3
1243,3.6
1244,4.1
1245,2.1
1246,4.7
1247,3.1
1248,4.0
1249,3.9
1250,1.0
1251,3.5
1252,3.5
1253,4.0
1254,2.9
1255,3.8
1256,3.4
1257,3.7
1258,3.4
1259,3.5
1260,3.3
1261,4.3
1262,3.7
1263,3.6
1264,4.4
1265,3.8
1266,4.0
1267,4.6
1268,4.3
1269,3.6
1270,4.4
1271,3.6
1272,4.2
1273,3.8
1274,4.1
1275,3.3
1276,4.1
1277,4.0
1278,3.9
1279,4.5
1280,3.1
1281,3.6
1282,2.4
1283,3.4
1284,3.4
1285,2.5
1286,3.0
1287,2.6
1288,1.9
1289,1.5
1290,2.6
1291,3.2
1292,4.2
1293,4.6
1294,3.5
1295,3.9
1296,3.6
1297,3.2
1298,3.7
1299,2.2
1300,3.5
1301,4.4
1302,4.8
1303,4.6
1304,4.2
1305,4.4
1306,4.7
1307,5.0
1308,4.8
1309,4.1
1310,3.6
1311,4.1
1312,4.1
1313,3.6
1314,4.1
1315,3.5
1316,3.8
1317,3.5
1318,3.6
1319,3.9
1320,3.4
1321,3.5
1322,2.6
1323,4.0
1324,2.9
1325,3.0
1326,2.6
1327,3.7
1328,2.8
1329,3.2
1330,3.2
1331,4.0
1332,2.9
1333,2.9
1334,4.5
1335,5.0
1336,3.1
1337,3.2
1338,2.5
1339,3.8
1340,3.5
1341,4.2
1342,3.6
1343,3.2
1344,2.8
1345,3.4
1346,2.8
1347,3.4
1348,2.8
1349,2.7
1350,2.3
1351,4.8
1352,4.8
1353,4.7
1354,4.0
1355,4.4
1356,3.9
1357,4.7
1358,3.7
1359,4.5
1360,4.9
1361,4.8
1362,4.4
1363,4.7
1364,5.0
1365,4.0
1366,3.1
1367,4.5
1368,4.7
1369,4.2
1370,3.7
1371,4.0
1372,3.8
1373,4.0
1374,4.4
1375,4.9
1376,4.5
1377,4.4
1378,4.6
1379,4.2
1380,4.5
1381,4.5
1382,4.1
1383,4.2
1384,4.1
1385,3.8
1386,3.8
1387,4.1
1388,3.6
1389,4.1
1390,3.9
1391,3.9
1392,3.9
1393,3.4
1394,3.6
1395,3.7
1396,3.2
1397,2.8
1398,3.4
1399,3.5
1400,3.4
1401,4.3
1402,4.2
1403,3.8
1404,3.7
1405,3.7
1406,4.0
1407,3.7
1408,3.2
1409,2.8
1410,3.6
1411,4.1
1412,4.0
1413,4.5
1414,4.5
1415,4.1
1416,3.9
1417,2.0
1418,2.7
1419,2.8
1420,3.0
1421,4.4
1422,4.5
1423,3.2
1424,2.9
1425,3.8
1426,3.6
1427,4.2
1428,3.3
1429,3.6
1430,2.3
1431,4.0
1432,2.8
1433,3.6
1434,4.0
1435,3.8
1436,3.4
1437,3.9
1438,4.0
1439,3.6
1440,2.3
1441,3.6
1442,4.8
1443,4.1
1444,3.7
1445,3.5
1446,2.8
1447,2.7
1448,2.8
1449,3.0
1450,3.0
1451,3.8
1452,3.8
1453,4.5
1454,3.8
1455,4.4
1456,4.1
1457,3.8
1458,2.3
1459,3.6
1460,3.7
1461,4.3
1462,4.7
1463,4.7
1464,4.2
1465,3.7
1466,4.2
1467,4.3
1468,4.2
1469,3.8
1470,3.7
1471,4.1
1472,3.8
1473,4.8
1474,3.7
1475,4.4
1476,4.4
1477,4.3
1478,5.0
1479,3.5
1480,4.5
1481,3.8
1482,2.7
1483,3.2
1484,2.5
1485,3.3
1486,2.3
1487,3.1
1488,2.6
1489,2.6
1490,3.9
1491,4.3
1492,3.7
1493,4.6
1494,3.7
1495,4.3
1496,4.7
1497,3.9
1498,4.3
1499,4.3
1500,3.3
1501,3.9
1502,4.5
1503,3.9
1504,3.9
1505,4.9
1506,3.7
1507,4.0
1508,4.2
1509,3.9
1510,3.0
1511,4.3
1512,4.9
1513,4.5
1514,4.8
1515,4.4
1516,5.0
1517,4.1
1518,2.5
1519,4.4
1520,3.6
1521,3.7
